"key","message","comment","context"
"Access Events","События",,
"Arrival time"," ""Время прибытия""",,
"Attendance","Посещаемость",,
"Attendance Session","Сессия",,
"Attendance Sessions","Сессия",,
"Come","Пришел",,
"Date","Дата",,
"Employee's name","Имя сотрудника",,
"English",,,
"Event Type","Тип события",,
"French",,,
"Full Name","Имя",,
"Has left","Ушел",,
"Import CSV","Импорт CSV",,
"In office","В офисе",,
"Last exit time","Время последнего выхода",,
"Location"," ""Отдел""",,
"Name","Имя",,
"Office time","Время в офисе",,
"Person ID","ID",,
"Session Date","Дата сессии",,
"Session End","Конец сессии",,
"Session Start","Начало сессии",,
"Session Start Time","Начало сессии",,
"Session date","Дата сессии""",,
"Session events","События сессии",,
"Sessions","Сессии",,
"Time","Время",,
"Time Out of Office (HH:mm)","Вне офиса",,
"Time in Office (HH:mm)","В офисе",,
"Timestamp","Отметка времени",,
"Type","Тип",,
"file CSV","CSV файл",,
"outside the office","Вне офиса",,
"time out of the office","Вне офиса",,
"Русский",,,
